user_id,user_journey,subscription_type
37828,Homepage-Courses-Sign up-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Sign up-Other-Resources center-Homepage-Pricing-Checkout-Pricing-Courses-Checkout,Annual
37828,Homepage-Courses-Sign up-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Sign up-Other-Resources center-Homepage-Pricing-Checkout-Pricing-Courses-Checkout,Annual
37828,Homepage-Courses-Sign up-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Sign up-Other-Resources center-Homepage-Pricing-Checkout-Pricing-Courses-Checkout,Annual
37828,Homepage-Courses-Sign up-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Sign up-Other-Resources center-Homepage-Pricing-Checkout-Pricing-Courses-Checkout,Annual
37828,Homepage-Courses-Sign up-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Sign up-Other-Resources center-Homepage-Pricing-Checkout-Pricing-Courses-Checkout,Annual
39452,Courses-Sign up-Other-Coupon,Annual
39452,Courses-Sign up-Other-Coupon,Annual
39452,Courses-Sign up-Other-Coupon,Annual
39452,Courses-Sign up-Other-Coupon,Annual
41200,Coupon-Checkout,Annual
41200,Coupon-Checkout,Annual
41200,Coupon-Checkout,Annual
41200,Coupon-Checkout,Annual
41200,Coupon-Checkout,Annual
41200,Coupon-Checkout,Annual
49669,Coupon-Other-Coupon,Annual
49669,Coupon-Other-Coupon,Annual
60084,Other,Monthly
71559,Coupon-Pricing-Sign up-Pricing-Checkout,Annual
71559,Coupon-Pricing-Sign up-Pricing-Checkout,Annual
72771,Checkout,Monthly
72771,Checkout,Monthly
74256,Sign up-Other-Homepage-Checkout,Annual
74256,Sign up-Other-Homepage-Checkout,Annual
74256,Sign up-Other-Homepage-Checkout,Annual
74256,Sign up-Other-Homepage-Checkout,Annual
75048,Resources center-Other-Courses-Coupon,Annual
75048,Resources center-Other-Courses-Coupon,Annual
75048,Resources center-Other-Courses-Coupon,Annual
75048,Resources center-Other-Courses-Coupon,Annual
75048,Resources center-Other-Courses-Coupon,Annual
75048,Resources center-Other-Courses-Coupon,Annual
75048,Resources center-Other-Courses-Coupon,Annual
82563,Courses-Sign up-Checkout,Monthly
82563,Courses-Sign up-Checkout,Monthly
82563,Courses-Sign up-Checkout,Monthly
